employee_number,age,tenure,turnover,hourly_rate,hours_weekly,compensation_type,annual_salary,driving_commuter_distance,job_role_area,gender,marital_status,num_companies_previously_worked,annual_professonal_dev_hrs,pay_check_method,text_message_optin,commute_distance_category
20,35,10,No,24.3,40,Salary,50544.0,2.0,Sales,Female,Married,5,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
21,30,6,No,26.28,40,Salary,54662.4,14.0,Research,Female,Married,3,15.0,Direct Deposit,Yes,"(-0.85, 95.09]"
22,37,7,Yes,26.28,40,Salary,54662.4,14.0,Research,Female,Married,5,15.0,Direct Deposit,Yes,"(-0.85, 95.09]"
23,44,9,No,87.22,40,Salary,281417.6,75.0,Manufacturing,Female,Divorced,2,16.0,Mailed Check,Yes,"(-0.85, 95.09]"
24,54,15,No,87.22,40,Salary,281417.6,75.0,Manufacturing,Female,Divorced,7,24.0,Mailed Check,Yes,"(-0.85, 95.09]"
25,36,3,Yes,87.2,40,Salary,281376.0,5.0,Research,Female,Married,1,10.0,Direct Deposit,Yes,"(-0.85, 95.09]"
26,40,8,No,87.2,40,Salary,281376.0,5.0,Research,Female,Married,4,15.0,Direct Deposit,Yes,"(-0.85, 95.09]"
27,32,6,No,31.02,40,Salary,64521.6,910.0,Research,Female,Married,1,18.0,Mailed Check,Yes,"(855.01, 950.0]"
28,32,5,No,31.02,40,Salary,64521.6,910.0,Research,Female,Married,2,11.0,Mailed Check,Yes,"(855.01, 950.0]"
29,41,7,No,89.4,40,Salary,285952.0,28.0,Healthcare,Female,Single,6,20.0,Mailed Check,Yes,"(-0.85, 95.09]"
30,44,18,Yes,89.4,40,Salary,285952.0,28.0,Healthcare,Female,Single,6,25.0,Mailed Check,Yes,"(-0.85, 95.09]"
31,30,1,No,24.5,40,Salary,50960.0,0.1,Human Resources,Female,Divorced,3,17.0,Mailed Check,Yes,"(-0.85, 95.09]"
32,34,2,No,24.5,40,Salary,50960.0,0.1,Human Resources,Female,Divorced,3,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
33,38,8,No,88.78,40,Salary,284662.4,0.1,Laboratory,Female,Divorced,1,21.0,Mailed Check,Yes,"(-0.85, 95.09]"
34,56,8,No,88.78,40,Salary,284662.4,0.1,Laboratory,Female,Divorced,3,25.0,Mailed Check,Yes,"(-0.85, 95.09]"
35,28,4,No,25.14,40,Salary,52291.2,910.0,Laboratory,Female,Married,2,12.0,Mailed Check,Yes,"(855.01, 950.0]"
36,35,6,Yes,25.14,40,Salary,52291.2,910.0,Laboratory,Female,Married,6,7.0,Mailed Check,Yes,"(855.01, 950.0]"
37,37,5,Yes,85.44,40,Salary,177715.2,33.0,Sales,Female,Single,6,12.0,Mailed Check,Yes,"(-0.85, 95.09]"
38,44,10,No,85.44,40,Salary,177715.2,33.0,Sales,Female,Single,7,19.0,Mailed Check,Yes,"(-0.85, 95.09]"
39,36,7,No,29.21,40,Salary,60756.8,79.0,Laboratory,Female,Divorced,2,15.0,Direct Deposit,Yes,"(-0.85, 95.09]"
40,37,9,No,29.21,40,Salary,60756.8,79.0,Laboratory,Female,Divorced,4,22.0,Direct Deposit,Yes,"(-0.85, 95.09]"
41,30,1,No,23.86,40,Salary,49628.8,50.0,Marketing,Female,Single,1,12.0,Mailed Check,Yes,"(-0.85, 95.09]"
42,30,8,Yes,23.86,40,Salary,49628.8,50.0,Marketing,Female,Single,2,21.0,Mailed Check,Yes,"(-0.85, 95.09]"
43,21,1,Yes,22.24,40,Salary,5259.2,13.0,Research,Female,Single,3,12.0,Direct Deposit,Yes,"(-0.85, 95.09]"
44,23,1,Yes,22.24,40,Salary,5259.2,13.0,Research,Female,Married,2,11.0,Direct Deposit,Yes,"(-0.85, 95.09]"
45,36,8,No,84.7,40,Salary,176176.0,75.0,Manufacturing,Female,Divorced,6,9.0,Mailed Check,Yes,"(-0.85, 95.09]"
46,45,20,No,84.7,40,Salary,176176.0,75.0,Manufacturing,Female,Divorced,4,9.0,Mailed Check,Yes,"(-0.85, 95.09]"
47,36,1,Yes,26.48,40,Salary,55078.4,57.0,Sales,Female,Divorced,6,24.0,Direct Deposit,Yes,"(-0.85, 95.09]"
48,38,3,Yes,26.48,40,Salary,55078.4,57.0,Sales,Female,Divorced,1,10.0,Direct Deposit,Yes,"(-0.85, 95.09]"
49,36,2,Yes,28.3,40,Salary,58864.0,82.0,Sales,Female,Married,2,24.0,Mailed Check,Yes,"(-0.85, 95.09]"
50,40,8,No,28.3,40,Salary,58864.0,82.0,Sales,Female,Married,5,14.0,Mailed Check,Yes,"(-0.85, 95.09]"
51,27,3,Yes,22.72,40,Salary,47257.6,4.0,Information Technology,Male,Single,2,5.0,Mailed Check,Yes,"(-0.85, 95.09]"
52,32,3,Yes,22.72,40,Salary,47257.6,4.0,Information Technology,Male,Single,3,14.0,Mailed Check,Yes,"(-0.85, 95.09]"
53,44,18,No,87.0,40,Salary,280960.0,42.0,Manufacturing,Female,Divorced,7,13.0,Mailed Check,Yes,"(-0.85, 95.09]"
54,47,9,No,87.0,40,Salary,280960.0,42.0,Manufacturing,Female,Divorced,1,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
55,44,16,No,31.3,40,Salary,-15896.0,0.1,Marketing,Male,Divorced,8,22.0,Mailed Check,Yes,"(-0.85, 95.09]"
56,50,8,No,31.3,40,Salary,-15896.0,0.1,Marketing,Male,Divorced,5,10.0,Mailed Check,Yes,"(-0.85, 95.09]"
57,31,9,No,26.33,40,Salary,54766.4,60.0,Healthcare,Male,Single,1,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
58,33,5,Yes,26.33,40,Salary,54766.4,60.0,Healthcare,Male,Single,3,17.0,Mailed Check,Yes,"(-0.85, 95.09]"
59,46,16,Yes,89.35,40,Salary,285848.0,64.0,Healthcare,Female,Single,2,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
60,48,17,Yes,89.35,40,Salary,285848.0,64.0,Healthcare,Female,Single,1,6.0,Mailed Check,Yes,"(-0.85, 95.09]"
61,37,8,Yes,28.66,40,Salary,59612.8,33.0,Marketing,Female,Single,6,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
62,39,4,Yes,28.66,40,Salary,59612.8,33.0,Marketing,Female,Single,3,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
63,33,5,No,26.14,40,Salary,54371.2,36.0,Manufacturing,Female,Divorced,1,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
64,39,1,No,26.14,40,Salary,54371.2,36.0,Manufacturing,Female,Divorced,2,11.0,Mailed Check,Yes,"(-0.85, 95.09]"
65,30,3,Yes,29.49,40,Salary,-28660.8,0.1,Marketing,Female,Married,1,19.0,Mailed Check,Yes,"(-0.85, 95.09]"
66,32,5,Yes,29.49,40,Salary,-28660.8,0.1,Marketing,Female,Married,3,8.0,Mailed Check,Yes,"(-0.85, 95.09]"
67,30,8,No,24.74,40,Salary,51459.2,77.0,Sales,Male,Divorced,1,21.0,Mailed Check,Yes,"(-0.85, 95.09]"
68,32,4,No,24.74,40,Salary,51459.2,77.0,Sales,Male,Divorced,2,8.0,Mailed Check,Yes,"(-0.85, 95.09]"
69,40,4,Yes,85.33,40,Salary,177486.4,1.0,Sales,Female,Single,9,19.0,Mailed Check,Yes,"(-0.85, 95.09]"
70,45,16,Yes,85.33,40,Salary,177486.4,1.0,Sales,Female,Single,5,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
71,48,7,No,85.22,40,Salary,177257.6,33.0,Laboratory,Female,Single,8,6.0,Mailed Check,Yes,"(-0.85, 95.09]"
72,57,5,No,85.22,40,Salary,177257.6,33.0,Laboratory,Female,Single,5,12.0,Mailed Check,Yes,"(-0.85, 95.09]"
73,28,6,No,22.8,40,Salary,47424.0,24.0,Research,Female,Divorced,2,19.0,Mailed Check,Yes,"(-0.85, 95.09]"
74,28,1,Yes,22.8,40,Salary,47424.0,24.0,Research,Female,Divorced,3,18.0,Mailed Check,Yes,"(-0.85, 95.09]"
75,34,6,No,28.2,40,Salary,58656.0,12.0,Sales,Male,Single,4,17.0,Direct Deposit,Yes,"(-0.85, 95.09]"
76,40,4,No,28.2,40,Salary,58656.0,12.0,Sales,Male,Single,5,20.0,Direct Deposit,Yes,"(-0.85, 95.09]"
77,30,7,No,28.1,40,Salary,58448.0,2.0,Sales,Male,Single,1,12.0,Mailed Check,Yes,"(-0.85, 95.09]"
78,40,3,Yes,28.1,40,Salary,58448.0,2.0,Sales,Male,Single,1,22.0,Mailed Check,Yes,"(-0.85, 95.09]"
79,34,9,No,26.59,40,Salary,55307.2,67.0,Information Technology,Female,Divorced,2,20.0,Mailed Check,Yes,"(-0.85, 95.09]"
80,37,3,No,26.59,40,Salary,55307.2,67.0,Information Technology,Female,Divorced,3,6.0,Mailed Check,Yes,"(-0.85, 95.09]"
81,52,6,No,89.31,40,Salary,285764.8,41.0,Research,Male,Married,7,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
82,53,9,Yes,89.31,40,Salary,285764.8,41.0,Research,Male,Married,6,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
83,50,10,No,88.27,40,Salary,283601.6,60.0,Research,Male,Married,3,12.0,Direct Deposit,Yes,"(-0.85, 95.09]"
84,54,17,No,88.27,40,Salary,283601.6,60.0,Research,Male,Married,6,16.0,Direct Deposit,Yes,"(-0.85, 95.09]"
85,53,18,Yes,31.39,40,Salary,65291.2,62.0,Information Technology,Female,Divorced,2,25.0,Mailed Check,Yes,"(-0.85, 95.09]"
86,57,14,Yes,31.39,40,Salary,65291.2,62.0,Information Technology,Female,Divorced,9,18.0,Mailed Check,Yes,"(-0.85, 95.09]"
87,39,7,Yes,31.39,40,Salary,65291.2,47.0,Information Technology,Female,Divorced,4,6.0,Mailed Check,Yes,"(-0.85, 95.09]"
88,55,10,Yes,31.39,40,Salary,65291.2,47.0,Information Technology,Female,Divorced,1,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
89,31,9,No,28.73,40,Salary,59758.4,28.0,Laboratory,Female,Married,1,25.0,Mailed Check,Yes,"(-0.85, 95.09]"
90,40,1,No,28.73,40,Salary,59758.4,28.0,Laboratory,Female,Married,6,10.0,Mailed Check,Yes,"(-0.85, 95.09]"
91,36,9,No,28.73,40,Salary,59758.4,0.1,Laboratory,Female,Married,3,11.0,Mailed Check,Yes,"(-0.85, 95.09]"
92,39,4,No,28.73,40,Salary,59758.4,0.1,Laboratory,Female,Married,6,18.0,Mailed Check,Yes,"(-0.85, 95.09]"
93,44,8,Yes,48.45,40,Salary,100776.0,76.0,Marketing,Female,Married,5,12.0,Mailed Check,Yes,"(-0.85, 95.09]"
94,59,6,Yes,48.45,40,Salary,100776.0,76.0,Marketing,Female,Married,7,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
95,48,13,Yes,85.4,40,Salary,177632.0,31.0,Research,Male,Single,7,5.0,Mailed Check,Yes,"(-0.85, 95.09]"
96,54,17,No,85.4,40,Salary,177632.0,31.0,Research,Male,Single,2,25.0,Mailed Check,Yes,"(-0.85, 95.09]"
97,44,6,No,71.9,40,Salary,149552.0,32.0,Marketing,Male,Married,6,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
98,58,19,No,71.9,40,Salary,149552.0,32.0,Marketing,Male,Married,5,23.0,Mailed Check,Yes,"(-0.85, 95.09]"
99,48,17,Yes,71.33,40,Salary,148075.2,50.0,Sales,Female,Married,8,8.0,Mailed Check,Yes,"(-0.85, 95.09]"
100,57,17,No,71.33,40,Salary,148075.2,50.0,Sales,Female,Married,9,22.0,Mailed Check,Yes,"(-0.85, 95.09]"
101,49,7,No,65.62,40,Salary,136489.6,15.0,Research,Male,Divorced,6,17.0,Direct Deposit,Yes,"(-0.85, 95.09]"
102,52,17,Yes,65.62,40,Salary,136489.6,15.0,Research,Male,Divorced,1,6.0,Direct Deposit,Yes,"(-0.85, 95.09]"
103,37,10,Yes,56.11,40,Salary,116708.8,33.0,Healthcare,Male,Divorced,1,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
104,49,7,Yes,56.11,40,Salary,116708.8,33.0,Healthcare,Male,Divorced,1,22.0,Mailed Check,Yes,"(-0.85, 95.09]"
105,44,14,No,80.12,40,Salary,166649.6,56.0,Human Resources,Male,Married,1,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
106,59,13,Yes,80.12,40,Salary,166649.6,56.0,Human Resources,Male,Married,9,6.0,Mailed Check,Yes,"(-0.85, 95.09]"
107,34,4,No,25.71,40,Salary,53476.8,32.0,Marketing,Male,Single,3,17.0,Direct Deposit,Yes,"(-0.85, 95.09]"
108,34,1,No,25.71,40,Salary,53476.8,32.0,Marketing,Male,Single,5,5.0,Direct Deposit,Yes,"(-0.85, 95.09]"
109,41,6,Yes,97.05,40,Salary,202864.0,22.0,Research,Female,Divorced,3,23.0,Mailed Check,Yes,"(-0.85, 95.09]"
110,42,3,No,97.05,40,Salary,202864.0,22.0,Research,Female,Divorced,5,6.0,Mailed Check,Yes,"(-0.85, 95.09]"
111,33,4,Yes,25.17,40,Salary,52353.6,51.0,Information Technology,Male,Single,6,14.0,Direct Deposit,Yes,"(-0.85, 95.09]"
112,35,7,Yes,25.17,40,Salary,52353.6,51.0,Information Technology,Male,Single,6,25.0,Direct Deposit,Yes,"(-0.85, 95.09]"
113,39,8,Yes,81.64,40,Salary,169811.2,60.0,Marketing,Male,Divorced,2,17.0,Mailed Check,Yes,"(-0.85, 95.09]"
114,58,7,No,81.64,40,Salary,169811.2,60.0,Marketing,Male,Divorced,2,12.0,Mailed Check,Yes,"(-0.85, 95.09]"
115,44,12,Yes,40.53,40,Salary,84302.4,58.0,Sales,Female,Married,9,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
116,60,10,No,40.53,40,Salary,84302.4,58.0,Sales,Female,Married,9,8.0,Mailed Check,Yes,"(-0.85, 95.09]"
117,31,3,No,23.42,40,Salary,48713.6,0.1,Research,Female,Divorced,2,6.0,Direct Deposit,Yes,"(-0.85, 95.09]"
118,35,4,Yes,23.42,40,Salary,48713.6,0.1,Research,Female,Divorced,4,15.0,Direct Deposit,Yes,"(-0.85, 95.09]"
119,37,3,No,65.52,40,Salary,136281.6,36.0,Healthcare,Female,Married,2,11.0,Mailed Check,Yes,"(-0.85, 95.09]"
120,48,19,Yes,65.52,40,Salary,136281.6,36.0,Healthcare,Female,Married,7,23.0,Mailed Check,Yes,"(-0.85, 95.09]"
121,33,3,Yes,28.09,40,Salary,58427.2,34.0,Sales,Female,Single,1,13.0,Mailed Check,Yes,"(-0.85, 95.09]"
122,34,1,Yes,28.09,40,Salary,58427.2,34.0,Sales,Female,Single,4,22.0,Mailed Check,Yes,"(-0.85, 95.09]"
123,35,6,Yes,26.84,40,Salary,55827.2,60.0,Sales,Male,Divorced,1,21.0,Mailed Check,Yes,"(-0.85, 95.09]"
124,38,3,No,26.84,40,Salary,55827.2,60.0,Sales,Male,Divorced,2,25.0,Mailed Check,Yes,"(-0.85, 95.09]"
125,36,10,Yes,34.87,40,Salary,72529.6,1.0,Research,Female,Single,1,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
126,48,13,Yes,34.87,40,Salary,72529.6,1.0,Research,Female,Single,4,13.0,Mailed Check,Yes,"(-0.85, 95.09]"
127,38,5,Yes,83.05,40,Salary,172744.0,37.0,Marketing,Female,Single,1,5.0,Mailed Check,Yes,"(-0.85, 95.09]"
128,42,8,No,83.05,40,Salary,172744.0,37.0,Marketing,Female,Single,6,12.0,Mailed Check,Yes,"(-0.85, 95.09]"
129,40,10,No,59.45,40,Salary,123656.0,42.0,Research,Female,Married,6,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
130,45,16,Yes,59.45,40,Salary,123656.0,42.0,Research,Female,Married,3,14.0,Mailed Check,Yes,"(-0.85, 95.09]"
131,56,16,No,35.54,40,Salary,73923.2,16.0,Healthcare,Male,Married,7,8.0,Mailed Check,Yes,"(-0.85, 95.09]"
132,56,18,No,35.54,40,Salary,73923.2,16.0,Healthcare,Male,Married,3,24.0,Mailed Check,Yes,"(-0.85, 95.09]"
133,40,1,Yes,43.0,40,Salary,89440.0,26.0,Sales,Female,Divorced,2,15.0,Direct Deposit,Yes,"(-0.85, 95.09]"
134,44,10,Yes,43.0,40,Salary,89440.0,26.0,Sales,Female,Divorced,6,18.0,Direct Deposit,Yes,"(-0.85, 95.09]"
135,49,18,Yes,62.53,40,Salary,130062.4,77.0,Healthcare,Male,Single,5,15.0,Direct Deposit,Yes,"(-0.85, 95.09]"
136,58,20,Yes,62.53,40,Salary,130062.4,77.0,Healthcare,Male,Single,2,10.0,Direct Deposit,Yes,"(-0.85, 95.09]"
137,34,1,No,26.06,40,Salary,54204.8,35.0,Laboratory,Female,Married,5,8.0,Direct Deposit,Yes,"(-0.85, 95.09]"
138,39,9,No,26.06,40,Salary,54204.8,35.0,Laboratory,Female,Married,5,16.0,Direct Deposit,Yes,"(-0.85, 95.09]"
139,37,7,No,60.01,40,Salary,124820.8,34.0,Healthcare,Female,Married,5,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
140,60,11,No,60.01,40,Salary,124820.8,34.0,Healthcare,Female,Married,2,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
141,39,9,No,50.74,40,Salary,105539.2,74.0,Manufacturing,Female,Married,3,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
142,54,11,Yes,50.74,40,Salary,105539.2,74.0,Manufacturing,Female,Married,9,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
143,39,8,No,53.28,40,Salary,110614.4,62.0,Manufacturing,Male,Divorced,4,7.0,Mailed Check,Yes,"(-0.85, 95.09]"
144,54,10,No,53.28,40,Salary,110614.4,62.0,Manufacturing,Male,Divorced,1,24.0,Mailed Check,Yes,"(-0.85, 95.09]"
145,30,6,Yes,24.64,40,Salary,51251.2,0.1,Human Resources,Female,Divorced,2,22.0,Direct Deposit,Yes,"(-0.85, 95.09]"
146,30,1,No,24.64,40,Salary,51251.2,0.1,Human Resources,Female,Divorced,3,15.0,Direct Deposit,Yes,"(-0.85, 95.09]"
147,39,8,No,86.33,40,Salary,179566.4,0.1,Research,Female,Married,3,12.0,Mailed Check,Yes,"(-0.85, 95.09]"
148,47,12,Yes,86.33,40,Salary,179566.4,0.1,Research,Female,Married,4,8.0,Mailed Check,Yes,"(-0.85, 95.09]"
149,33,7,Yes,31.1,40,Salary,64688.0,84.0,Human Resources,Female,Single,1,21.0,Mailed Check,Yes,"(-0.85, 95.09]"
150,37,7,No,31.1,40,Salary,64688.0,84.0,Human Resources,Female,Single,6,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
151,34,5,No,23.37,40,Salary,48609.6,60.0,Information Technology,Male,Divorced,2,18.0,Mailed Check,Yes,"(-0.85, 95.09]"
152,35,9,Yes,23.37,40,Salary,48609.6,60.0,Information Technology,Male,Divorced,5,25.0,Mailed Check,Yes,"(-0.85, 95.09]"
153,50,7,No,60.42,40,Salary,125673.6,44.0,Information Technology,Male,Divorced,1,12.0,Direct Deposit,Yes,"(-0.85, 95.09]"
154,55,19,No,60.42,40,Salary,125673.6,44.0,Information Technology,Male,Divorced,8,24.0,Direct Deposit,Yes,"(-0.85, 95.09]"
155,36,2,Yes,28.04,40,Salary,58323.2,61.0,Manufacturing,Male,Married,2,8.0,Mailed Check,Yes,"(-0.85, 95.09]"
156,38,7,Yes,28.04,40,Salary,58323.2,61.0,Manufacturing,Male,Married,6,10.0,Mailed Check,Yes,"(-0.85, 95.09]"
157,43,3,No,59.17,40,Salary,123073.6,87.0,Sales,Female,Married,6,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
158,55,14,No,59.17,40,Salary,123073.6,87.0,Sales,Female,Married,8,21.0,Mailed Check,Yes,"(-0.85, 95.09]"
159,31,3,No,25.41,40,Salary,52852.8,75.0,Marketing,Male,Single,2,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
160,32,5,Yes,25.41,40,Salary,52852.8,75.0,Marketing,Male,Single,1,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
161,30,2,Yes,25.57,40,Salary,53285.6,79.0,Healthcare,Male,Married,3,23.0,Mailed Check,Yes,"(-0.85, 95.09]"
162,33,9,No,25.57,40,Salary,53285.6,79.0,Healthcare,Male,Married,4,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
163,34,5,Yes,28.09,40,Salary,58427.2,15.0,Sales,Male,Single,5,23.0,Mailed Check,Yes,"(-0.85, 95.09]"
164,36,5,No,28.09,40,Salary,58427.2,15.0,Sales,Male,Single,2,12.0,Mailed Check,Yes,"(-0.85, 95.09]"
165,48,11,Yes,33.29,40,Salary,69243.2,46.0,Research,Male,Single,3,17.0,Mailed Check,Yes,"(-0.85, 95.09]"
166,61,11,No,33.29,40,Salary,69243.2,46.0,Research,Male,Single,8,21.0,Mailed Check,Yes,"(-0.85, 95.09]"
167,41,3,No,91.85,40,Salary,331048.0,0.1,Sales,Female,Married,6,25.0,Mailed Check,Yes,"(-0.85, 95.09]"
168,58,16,No,91.85,40,Salary,331048.0,0.1,Sales,Female,Married,2,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
169,57,15,Yes,45.29,40,Salary,94203.2,33.0,Healthcare,Male,Single,1,5.0,Mailed Check,Yes,"(-0.85, 95.09]"
170,58,10,No,45.29,40,Salary,94203.2,33.0,Healthcare,Male,Single,4,24.0,Mailed Check,Yes,"(-0.85, 95.09]"
171,41,8,No,96.17,40,Salary,200033.6,52.0,Laboratory,Male,Single,1,6.0,Direct Deposit,Yes,"(-0.85, 95.09]"
172,55,15,No,96.17,40,Salary,200033.6,52.0,Laboratory,Male,Single,4,21.0,Direct Deposit,Yes,"(-0.85, 95.09]"
173,48,5,No,76.51,40,Salary,159140.8,73.0,Information Technology,Female,Single,8,22.0,Mailed Check,Yes,"(-0.85, 95.09]"
174,61,10,No,76.51,40,Salary,159140.8,73.0,Information Technology,Female,Single,4,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
175,37,4,No,57.15,40,Salary,128872.0,42.0,Information Technology,Female,Divorced,6,23.0,Mailed Check,Yes,"(-0.85, 95.09]"
176,42,3,Yes,57.15,40,Salary,128872.0,42.0,Information Technology,Female,Divorced,3,10.0,Mailed Check,Yes,"(-0.85, 95.09]"
177,55,16,No,64.59,40,Salary,134347.2,50.0,Manufacturing,Male,Divorced,8,5.0,Mailed Check,Yes,"(-0.85, 95.09]"
178,56,17,Yes,64.59,40,Salary,134347.2,50.0,Manufacturing,Male,Divorced,5,20.0,Mailed Check,Yes,"(-0.85, 95.09]"
179,26,3,Yes,22.38,40,Salary,46550.4,53.0,Laboratory,Male,Single,2,7.0,Direct Deposit,Yes,"(-0.85, 95.09]"
180,26,3,No,22.38,40,Salary,46550.4,53.0,Laboratory,Male,Single,2,15.0,Direct Deposit,Yes,"(-0.85, 95.09]"
181,38,6,No,44.26,40,Salary,92060.8,85.0,Human Resources,Female,Married,1,18.0,Mailed Check,Yes,"(-0.85, 95.09]"
182,60,14,No,44.26,40,Salary,92060.8,85.0,Human Resources,Female,Married,4,22.0,Mailed Check,Yes,"(-0.85, 95.09]"
183,43,3,No,71.87,40,Salary,149489.6,66.0,Marketing,Female,Married,8,19.0,Direct Deposit,Yes,"(-0.85, 95.09]"
184,55,8,Yes,71.87,40,Salary,149489.6,66.0,Marketing,Female,Married,1,7.0,Direct Deposit,Yes,"(-0.85, 95.09]"
185,43,3,No,64.88,40,Salary,134950.4,42.0,Human Resources,Female,Divorced,8,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
186,48,20,No,64.88,40,Salary,134950.4,42.0,Human Resources,Female,Divorced,9,17.0,Mailed Check,Yes,"(-0.85, 95.09]"
187,36,5,No,42.17,40,Salary,87713.6,80.0,Manufacturing,Female,Divorced,6,9.0,Mailed Check,Yes,"(-0.85, 95.09]"
188,41,9,Yes,42.17,40,Salary,87713.6,80.0,Manufacturing,Female,Divorced,3,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
189,47,12,No,37.36,40,Salary,77708.8,55.0,Research,Male,Divorced,4,15.0,Direct Deposit,Yes,"(-0.85, 95.09]"
190,51,9,No,37.36,40,Salary,77708.8,55.0,Research,Male,Divorced,7,20.0,Direct Deposit,Yes,"(-0.85, 95.09]"
191,47,6,Yes,32.42,40,Salary,67433.6,66.0,Sales,Female,Married,5,21.0,Mailed Check,Yes,"(-0.85, 95.09]"
192,59,17,Yes,32.42,40,Salary,67433.6,66.0,Sales,Female,Married,2,12.0,Mailed Check,Yes,"(-0.85, 95.09]"
193,39,6,No,31.08,40,Salary,64646.4,50.0,Sales,Male,Married,5,25.0,Mailed Check,Yes,"(-0.85, 95.09]"
194,39,7,No,31.08,40,Salary,64646.4,50.0,Sales,Male,Married,4,19.0,Mailed Check,Yes,"(-0.85, 95.09]"
